number,text
718428,seven hundred eighteen thousand four hundred twenty-eight
884138,eight hundred eighty-four thousand one hundred thirty-eight
505331,five hundred five thousand three hundred thirty-one
930007,nine hundred thirty thousand seven
932645,nine hundred thirty-two thousand six hundred forty-five
920923,nine hundred twenty thousand nine hundred twenty-three
656573,six hundred fifty-six thousand five hundred seventy-three
948338,nine hundred forty-eight thousand three hundred thirty-eight
693153,six hundred ninety-three thousand one hundred fifty-three
988523,nine hundred eighty-eight thousand five hundred twenty-three
601534,six hundred one thousand five hundred thirty-four
641686,six hundred forty-one thousand six hundred eighty-six
796751,seven hundred ninety-six thousand seven hundred fifty-one
728709,seven hundred twenty-eight thousand seven hundred nine
584770,five hundred eighty-four thousand seven hundred seventy
695592,six hundred ninety-five thousand five hundred ninety-two
565151,five hundred sixty-five thousand one hundred fifty-one
958319,nine hundred fifty-eight thousand three hundred nineteen
726983,seven hundred twenty-six thousand nine hundred eighty-three
636886,six hundred thirty-six thousand eight hundred eighty-six
794691,seven hundred ninety-four thousand six hundred ninety-one
828841,eight hundred twenty-eight thousand eight hundred forty-one
591406,five hundred ninety-one thousand four hundred six
820743,eight hundred twenty thousand seven hundred forty-three
790047,seven hundred ninety thousand forty-seven
597941,five hundred ninety-seven thousand nine hundred forty-one
686070,six hundred eighty-six thousand seventy
887002,eight hundred eighty-seven thousand two
884234,eight hundred eighty-four thousand two hundred thirty-four
547864,five hundred forty-seven thousand eight hundred sixty-four
778419,seven hundred seventy-eight thousand four hundred nineteen
885556,eight hundred eighty-five thousand five hundred fifty-six
716069,seven hundred sixteen thousand sixty-nine
806735,eight hundred six thousand seven hundred thirty-five
764207,seven hundred sixty-four thousand two hundred seven
587332,five hundred eighty-seven thousand three hundred thirty-two
577671,five hundred seventy-seven thousand six hundred seventy-one
607853,six hundred seven thousand eight hundred fifty-three
876945,eight hundred seventy-six thousand nine hundred forty-five
540811,five hundred forty thousand eight hundred eleven
599599,five hundred ninety-nine thousand five hundred ninety-nine
938865,nine hundred thirty-eight thousand eight hundred sixty-five
679076,six hundred seventy-nine thousand seventy-six
668841,six hundred sixty-eight thousand eight hundred forty-one
512331,five hundred twelve thousand three hundred thirty-one
740563,seven hundred forty thousand five hundred sixty-three
678005,six hundred seventy-eight thousand five
514087,five hundred fourteen thousand eighty-seven
767759,seven hundred sixty-seven thousand seven hundred fifty-nine
862131,eight hundred sixty-two thousand one hundred thirty-one
890348,eight hundred ninety thousand three hundred forty-eight
