number,text
318428,three hundred eighteen thousand four hundred twenty-eight
484138,four hundred eighty-four thousand one hundred thirty-eight
105331,one hundred five thousand three hundred thirty-one
256573,two hundred fifty-six thousand five hundred seventy-three
293153,two hundred ninety-three thousand one hundred fifty-three
201534,two hundred one thousand five hundred thirty-four
241686,two hundred forty-one thousand six hundred eighty-six
396751,three hundred ninety-six thousand seven hundred fifty-one
328709,three hundred twenty-eight thousand seven hundred nine
184770,one hundred eighty-four thousand seven hundred seventy
295592,two hundred ninety-five thousand five hundred ninety-two
165151,one hundred sixty-five thousand one hundred fifty-one
326983,three hundred twenty-six thousand nine hundred eighty-three
236886,two hundred thirty-six thousand eight hundred eighty-six
394691,three hundred ninety-four thousand six hundred ninety-one
428841,four hundred twenty-eight thousand eight hundred forty-one
191406,one hundred ninety-one thousand four hundred six
420743,four hundred twenty thousand seven hundred forty-three
390047,three hundred ninety thousand forty-seven
197941,one hundred ninety-seven thousand nine hundred forty-one
286070,two hundred eighty-six thousand seventy
487002,four hundred eighty-seven thousand two
484234,four hundred eighty-four thousand two hundred thirty-four
147864,one hundred forty-seven thousand eight hundred sixty-four
378419,three hundred seventy-eight thousand four hundred nineteen
485556,four hundred eighty-five thousand five hundred fifty-six
316069,three hundred sixteen thousand sixty-nine
406735,four hundred six thousand seven hundred thirty-five
364207,three hundred sixty-four thousand two hundred seven
187332,one hundred eighty-seven thousand three hundred thirty-two
177671,one hundred seventy-seven thousand six hundred seventy-one
207853,two hundred seven thousand eight hundred fifty-three
476945,four hundred seventy-six thousand nine hundred forty-five
140811,one hundred forty thousand eight hundred eleven
199599,one hundred ninety-nine thousand five hundred ninety-nine
279076,two hundred seventy-nine thousand seventy-six
268841,two hundred sixty-eight thousand eight hundred forty-one
112331,one hundred twelve thousand three hundred thirty-one
340563,three hundred forty thousand five hundred sixty-three
278005,two hundred seventy-eight thousand five
114087,one hundred fourteen thousand eighty-seven
367759,three hundred sixty-seven thousand seven hundred fifty-nine
462131,four hundred sixty-two thousand one hundred thirty-one
490348,four hundred ninety thousand three hundred forty-eight
317830,three hundred seventeen thousand eight hundred thirty
101811,one hundred one thousand eight hundred eleven
103498,one hundred three thousand four hundred ninety-eight
448074,four hundred forty-eight thousand seventy-four
185882,one hundred eighty-five thousand eight hundred eighty-two
404144,four hundred four thousand one hundred forty-four
193781,one hundred ninety-three thousand seven hundred eighty-one
250247,two hundred fifty thousand two hundred forty-seven
152166,one hundred fifty-two thousand one hundred sixty-six
442119,four hundred forty-two thousand one hundred nineteen
317334,three hundred seventeen thousand three hundred thirty-four
155518,one hundred fifty-five thousand five hundred eighteen
457256,four hundred fifty-seven thousand two hundred fifty-six
403083,four hundred three thousand eighty-three
195238,one hundred ninety-five thousand two hundred thirty-eight
486181,four hundred eighty-six thousand one hundred eighty-one
296609,two hundred ninety-six thousand six hundred nine
221960,two hundred twenty-one thousand nine hundred sixty
374515,three hundred seventy-four thousand five hundred fifteen
412474,four hundred twelve thousand four hundred seventy-four
471922,four hundred seventy-one thousand nine hundred twenty-two
272958,two hundred seventy-two thousand nine hundred fifty-eight
121103,one hundred twenty-one thousand one hundred three
221796,two hundred twenty-one thousand seven hundred ninety-six
162810,one hundred sixty-two thousand eight hundred ten
361737,three hundred sixty-one thousand seven hundred thirty-seven
213445,two hundred thirteen thousand four hundred forty-five
486501,four hundred eighty-six thousand five hundred one
496387,four hundred ninety-six thousand three hundred eighty-seven
391024,three hundred ninety-one thousand twenty-four
451120,four hundred fifty-one thousand one hundred twenty
197427,one hundred ninety-seven thousand four hundred twenty-seven
235126,two hundred thirty-five thousand one hundred twenty-six
408600,four hundred eight thousand six hundred
327370,three hundred twenty-seven thousand three hundred seventy
371706,three hundred seventy-one thousand seven hundred six
168088,one hundred sixty-eight thousand eighty-eight
121778,one hundred twenty-one thousand seven hundred seventy-eight
186055,one hundred eighty-six thousand fifty-five
257981,two hundred fifty-seven thousand nine hundred eighty-one
104905,one hundred four thousand nine hundred five
178786,one hundred seventy-eight thousand seven hundred eighty-six
220121,two hundred twenty thousand one hundred twenty-one
283357,two hundred eighty-three thousand three hundred fifty-seven
382663,three hundred eighty-two thousand six hundred sixty-three
279289,two hundred seventy-nine thousand two hundred eighty-nine
182303,one hundred eighty-two thousand three hundred three
302382,three hundred two thousand three hundred eighty-two
269743,two hundred sixty-nine thousand seven hundred forty-three
106732,one hundred six thousand seven hundred thirty-two
125857,one hundred twenty-five thousand eight hundred fifty-seven
131923,one hundred thirty-one thousand nine hundred twenty-three
473123,four hundred seventy-three thousand one hundred twenty-three
333367,three hundred thirty-three thousand three hundred sixty-seven
141189,one hundred forty-one thousand one hundred eighty-nine
303476,three hundred three thousand four hundred seventy-six
194101,one hundred ninety-four thousand one hundred one
106138,one hundred six thousand one hundred thirty-eight
473468,four hundred seventy-three thousand four hundred sixty-eight
292808,two hundred ninety-two thousand eight hundred eight
212905,two hundred twelve thousand nine hundred five
455837,four hundred fifty-five thousand eight hundred thirty-seven
368709,three hundred sixty-eight thousand seven hundred nine
499118,four hundred ninety-nine thousand one hundred eighteen
163703,one hundred sixty-three thousand seven hundred three
352065,three hundred fifty-two thousand sixty-five
426028,four hundred twenty-six thousand twenty-eight
132256,one hundred thirty-two thousand two hundred fifty-six
107244,one hundred seven thousand two hundred forty-four
428258,four hundred twenty-eight thousand two hundred fifty-eight
357840,three hundred fifty-seven thousand eight hundred forty
270792,two hundred seventy thousand seven hundred ninety-two
419862,four hundred nineteen thousand eight hundred sixty-two
320635,three hundred twenty thousand six hundred thirty-five
388258,three hundred eighty-eight thousand two hundred fifty-eight
205693,two hundred five thousand six hundred ninety-three
290991,two hundred ninety thousand nine hundred ninety-one
447522,four hundred forty-seven thousand five hundred twenty-two
466247,four hundred sixty-six thousand two hundred forty-seven
162590,one hundred sixty-two thousand five hundred ninety
391799,three hundred ninety-one thousand seven hundred ninety-nine
178464,one hundred seventy-eight thousand four hundred sixty-four
141967,one hundred forty-one thousand nine hundred sixty-seven
359466,three hundred fifty-nine thousand four hundred sixty-six
186482,one hundred eighty-six thousand four hundred eighty-two
275927,two hundred seventy-five thousand nine hundred twenty-seven
220923,two hundred twenty thousand nine hundred twenty-three
206562,two hundred six thousand five hundred sixty-two
