number,text
64607,sixty-four thousand six hundred seven
11332,eleven thousand three hundred thirty-two
49143,forty-nine thousand one hundred forty-three
58288,fifty-eight thousand two hundred eighty-eight
35383,thirty-five thousand three hundred eighty-three
45421,forty-five thousand four hundred twenty-one
84187,eighty-four thousand one hundred eighty-seven
67177,sixty-seven thousand one hundred seventy-seven
31192,thirty-one thousand one hundred ninety-two
58898,fifty-eight thousand eight hundred ninety-eight
26287,twenty-six thousand two hundred eighty-seven
66745,sixty-six thousand seven hundred forty-five
44221,forty-four thousand two hundred twenty-one
83672,eighty-three thousand six hundred seventy-two
92210,ninety-two thousand two hundred ten
32851,thirty-two thousand eight hundred fifty-one
90185,ninety thousand one hundred eighty-five
82511,eighty-two thousand five hundred eleven
34485,thirty-four thousand four hundred eighty-five
56517,fifty-six thousand five hundred seventeen
21966,twenty-one thousand nine hundred sixty-six
79604,seventy-nine thousand six hundred four
64017,sixty-four thousand seventeen
86683,eighty-six thousand six hundred eighty-three
76051,seventy-six thousand fifty-one
31833,thirty-one thousand eight hundred thirty-three
29417,twenty-nine thousand four hundred seventeen
36963,thirty-six thousand nine hundred sixty-three
20202,twenty thousand two hundred two
34899,thirty-four thousand eight hundred ninety-nine
54769,fifty-four thousand seven hundred sixty-nine
52210,fifty-two thousand two hundred ten
13082,thirteen thousand eighty-two
70140,seventy thousand one hundred forty
54501,fifty-four thousand five hundred one
13521,thirteen thousand five hundred twenty-one
76939,seventy-six thousand nine hundred thirty-nine
64457,sixty-four thousand four hundred fifty-seven
10452,ten thousand four hundred fifty-two
10874,ten thousand eight hundred seventy-four
97018,ninety-seven thousand eighteen
31470,thirty-one thousand four hundred seventy
86036,eighty-six thousand thirty-six
33445,thirty-three thousand four hundred forty-five
47561,forty-seven thousand five hundred sixty-one
23041,twenty-three thousand forty-one
95529,ninety-five thousand five hundred twenty-nine
64333,sixty-four thousand three hundred thirty-three
23879,twenty-three thousand eight hundred seventy-nine
99314,ninety-nine thousand three hundred fourteen
85770,eighty-five thousand seven hundred seventy
33809,thirty-three thousand eight hundred nine
59152,fifty-nine thousand one hundred fifty-two
40490,forty thousand four hundred ninety
78628,seventy-eight thousand six hundred twenty-eight
88118,eighty-eight thousand one hundred eighteen
53239,fifty-three thousand two hundred thirty-nine
15275,fifteen thousand two hundred seventy-five
40449,forty thousand four hundred forty-nine
25702,twenty-five thousand seven hundred two
75434,seventy-five thousand four hundred thirty-four
38361,thirty-eight thousand three hundred sixty-one
82756,eighty-two thousand seven hundred fifty-six
97780,ninety-seven thousand seven hundred eighty
34356,thirty-four thousand three hundred fifty-six
43781,forty-three thousand seven hundred eighty-one
87150,eighty-seven thousand one hundred fifty
66842,sixty-six thousand eight hundred forty-two
77926,seventy-seven thousand nine hundred twenty-six
27022,twenty-seven thousand twenty-two
15444,fifteen thousand four hundred forty-four
31513,thirty-one thousand five hundred thirteen
49495,forty-nine thousand four hundred ninety-five
11226,eleven thousand two hundred twenty-six
29696,twenty-nine thousand six hundred ninety-six
40030,forty thousand thirty
55839,fifty-five thousand eight hundred thirty-nine
80665,eighty thousand six hundred sixty-five
54822,fifty-four thousand eight hundred twenty-two
30575,thirty thousand five hundred seventy-five
60595,sixty thousand five hundred ninety-five
52435,fifty-two thousand four hundred thirty-five
11683,eleven thousand six hundred eighty-three
16464,sixteen thousand four hundred sixty-four
17980,seventeen thousand nine hundred eighty
68341,sixty-eight thousand three hundred forty-one
20297,twenty thousand two hundred ninety-seven
60869,sixty thousand eight hundred sixty-nine
33525,thirty-three thousand five hundred twenty-five
11534,eleven thousand five hundred thirty-four
58202,fifty-eight thousand two hundred two
38226,thirty-eight thousand two hundred twenty-six
98959,ninety-eight thousand nine hundred fifty-nine
